filename,face_identity_score,clip_score,brisque_score,time,
WOMEN-Tees_Tanks-id_00001938-03_7_additional,0.488829547,0.254188329,21.64172363,36.59384836,
WOMEN-Leggings-id_00000286-04_1_front,0.609739387,0.272945642,24.22290039,36.46160444,
WOMEN-Shorts-id_00006604-02_4_full,0.678317452,0.237518057,49.90753174,36.16943002,
WOMEN-Cardigans-id_00000853-02_4_full,0.794720495,0.252230763,29.96923828,36.80701342,
MEN-Shirts_Polos-id_00000204-01_7_additional,0.626532608,0.296491444,9.849060059,36.42526459,
MEN-Tees_Tanks-id_00007748-01_4_full,0.635115409,0.365521669,31.47393799,36.68220539,
WOMEN-Shorts-id_00005138-04_4_full,0.529565477,0.250765085,10.09002686,36.44618005,
WOMEN-Tees_Tanks-id_00000961-03_4_full,0.589636648,0.259030133,14.56945801,37.30919084,
WOMEN-Dresses-id_00004187-02_4_full,0.657496208,0.27797541,15.02789307,36.64463893,
WOMEN-Rompers_Jumpsuits-id_00007591-05_1_front,0.774176443,0.281410992,23.2354126,36.80292756,
WOMEN-Dresses-id_00003784-05_7_additional,0.582675243,0.26114589,22.63983154,36.69060635,
WOMEN-Tees_Tanks-id_00001298-02_4_full,0.564109022,0.273697019,13.20263672,36.79824422,
MEN-Tees_Tanks-id_00006208-08_7_additional,0.658967996,0.271723926,23.25500488,35.9980465,
WOMEN-Sweaters-id_00004655-02_1_front,0.380102971,0.259820968,23.19512939,36.6599308,
WOMEN-Dresses-id_00005773-06_1_front,0.628495181,0.245212734,33.01580811,35.7792671,
WOMEN-Blouses_Shirts-id_00003777-02_4_full,0.450971061,0.254980475,24.75933838,36.62771305,
WOMEN-Dresses-id_00005102-02_1_front,0.6698901,0.222644389,1.745178223,36.72979268,
WOMEN-Rompers_Jumpsuits-id_00005251-03_1_front,0.697653347,0.305759788,16.76751709,36.73831424,
MEN-Tees_Tanks-id_00001021-06_4_full,0.576970422,0.261151999,9.737426758,35.92336368,
WOMEN-Sweaters-id_00002043-02_1_front,0.53851285,0.275458127,5.910522461,37.54866379,
WOMEN-Sweaters-id_00007079-02_7_additional,0.624336654,0.292832732,17.70684814,36.97185425,
WOMEN-Sweaters-id_00001385-05_1_front,0.640439743,0.266207635,25.96154785,36.67679458,
WOMEN-Sweaters-id_00007629-06_4_full,0.548927748,0.306007326,18.44403076,60.13002575,
WOMEN-Rompers_Jumpsuits-id_00007554-02_4_full,0.536674166,0.309061766,10.86230469,43.33110059,
WOMEN-Dresses-id_00003830-03_4_full,0.645297939,0.264060438,25.15484619,38.49687385,
WOMEN-Dresses-id_00006454-03_4_full,0.652586722,0.254478633,25.58966064,36.8292436,
WOMEN-Dresses-id_00004564-02_1_front,0.53950932,0.242386937,23.2543335,36.21908508,
WOMEN-Dresses-id_00006339-01_2_side,0.436908865,0.226852849,25.81079102,36.41600125,
WOMEN-Tees_Tanks-id_00000149-06_4_full,0.51747855,0.263154596,27.31152344,36.21980381,
WOMEN-Dresses-id_00003250-02_7_additional,0.492477501,0.321842015,25.69378662,36.31381219,
WOMEN-Tees_Tanks-id_00004601-01_4_full,0.687251115,0.218260303,7.90020752,36.44377451,
